,0
0,I
1,was
2,able
3,to
4,access
5,the
6,.asp
7,page
8,by
9,first
10,loading
11,a
12,primary
13,asp
14,page
15,then
16,loading
17,the
18,asp
19,page
20,I
21,wanted
22,under
23,the
24,same
25,session
26,.
