,0
0,Basically
1,","
2,something
3,similar
4,to
5,System
6,.Xml.XmlWriter
7,-
8,A
9,streaming
10,XML
11,Writer
12,that
13,doesn
14,'t
15,incur
16,much
17,of
18,a
19,memory
20,overhead
21,.
22,So
23,that
24,rules
25,out
26,xml
27,.dom
28,and
29,xml
30,.dom.minidom.
31,Suggestions
32,?
