,0
0,copy2
1,"(src,dst)"
2,is
3,often
4,more
5,useful
6,than
7,copyfile
8,"(src,dst)"
9,"because:
it allows dst to be a directory (instead of the complete target filename)"
10,","
11,in
12,which
13,case
14,the
15,basename
16,of
17,src
18,is
19,used
20,for
21,creating
22,the
23,new
24,file
25,;
26,it
27,preserves
28,the
29,original
30,modification
31,and
32,access
33,info
34,(mtime
35,and
36,atime
37,)
38,in
39,the
40,file
41,metadata
42,"(however,"
43,this
44,comes
45,with
46,a
47,slight
48,overhead
49,).
50,Here
51,is
52,a
53,short
54,example
55,:
