,0
0,Jython
1,and
2,IronPython
3,are
4,useful
5,if
6,you
7,have
8,an
9,overriding
10,need
11,to
12,interface
13,with
14,existing
15,libraries
16,written
17,in
18,a
19,different
20,platform
21,","
22,like
23,if
24,you
25,have
26,100
27,",000"
28,lines
29,of
30,Java
31,and
32,you
33,just
34,want
35,to
36,write
37,a
38,20
39,-line
40,Python
41,script
42,.
43,Not
44,particularly
45,useful
46,for
47,anything
48,else
49,","
50,in
51,my
52,opinion
53,","
54,because
55,they
56,are
57,perpetually
58,a
59,few
60,versions
61,behind
62,CPython
63,due
64,to
65,community
66,inertia
67,.
68,Stackless
69,is
70,interesting
71,because
72,it
73,has
74,support
75,for
76,green
77,threads
78,","
79,continuations
80,","
81,etc
82,.
83,Sort
84,of
85,an
86,Erlang
87,-lite.
88,PyPy
89,is
90,an
91,experimental
92,interpreter
93,/compiler
94,that
95,may
96,one
97,day
98,supplant
99,CPython
100,","
101,but
102,for
103,now
104,is
105,more
106,of
107,a
108,testbed
109,for
110,new
111,ideas
112,.
